Cell,Age group 0,Age group 1,Age group 2,Age group 3,Age group 4,Age group 5,Age group 6,Age group 7,Age group 8,Age group 9,Age group 10,Age group 11,Age group 12,Age group 13,Age group 14,Age group 15,Age group 16
224,1,0,1,2,6,4,2,1,1,1,5,4,0,1,1,0,0
225,21,21,22,32,82,93,97,126,160,154,121,118,77,74,78,37,92
226,33,42,47,67,181,177,232,300,322,295,226,209,187,141,128,119,188
227,143,141,192,215,541,633,678,925,1131,1048,838,758,632,513,477,419,629
228,18,27,18,47,78,109,110,108,180,140,121,133,72,62,61,51,82
229,4,5,6,10,15,31,23,35,38,38,27,28,21,24,15,21,26
230,2,5,4,4,15,15,14,35,33,26,17,25,16,10,13,12,24
231,1,0,1,1,3,2,2,5,1,5,4,7,6,2,0,1,1
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1
235,6,3,8,3,21,21,26,28,22,16,33,14,13,18,10,12,19
236,33,38,48,63,189,235,249,271,312,269,234,190,173,140,125,119,200
237,71,83,84,137,266,310,435,472,621,590,459,423,329,286,236,201,357
238,24,36,41,48,136,129,164,216,271,256,213,213,157,124,110,79,146
239,6,12,7,12,32,33,46,49,63,67,60,45,34,33,22,40,52
240,0,0,2,3,6,5,8,13,6,10,5,6,4,4,8,3,13
241,1,0,0,3,4,1,4,10,4,9,7,7,7,6,1,2,2
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,1
244,0,0,0,0,2,1,0,0,0,1,2,1,0,0,2,2,2
245,12,15,21,25,51,60,79,94,122,103,87,85,60,53,39,39,61
246,14,10,10,14,41,48,69,78,96,105,43,56,44,39,36,46,49
247,5,3,9,13,14,22,37,32,50,39,30,30,30,17,16,12,27
248,0,4,6,4,16,12,12,17,25,21,17,16,9,11,8,5,18
249,1,1,0,2,4,6,5,8,4,3,5,3,3,3,7,5,1
250,0,1,0,0,2,2,3,2,5,5,7,7,4,2,5,2,1
